state_code,district,party,name,gender,ethnicity,religion,date_of_birth,entered_office
VA,1,republican,Robert Wittman,male,white-american,episcopalian,1959-02-03,2007-12-13
VA,2,democrat,Elaine Luria,female,white-american,unspecified,1975-08-15,2019-01-03
VA,3,democrat,Robert Scott,male,african-american,episcopalian,1947-04-30,1993-01-05
VA,4,democrat,Donald McEachin,male,african-american,baptist,1961-10-10,2017-01-03
VA,5,republican,Denver Riggleman,male,white-american,unspecified,1970-03-17,2019-01-03
VA,6,republican,Ben Cline,male,white-american,christian,1972-02-29,2019-01-03
VA,7,democrat,Abigail Spanberger,female,white-american,unspecified,1979-08-07,2019-01-03
VA,8,democrat,Don Beyer,male,white-american,episcopalian,1950-06-20,2015-01-06
VA,9,republican,Morgan Griffith,male,white-american,episcopalian,1958-03-15,2011-01-05
VA,10,democrat,Jennifer Wexton,female,white-american,unspecified,1968-05-27,2019-01-03
VA,11,democrat,Gerald Connolly,male,white-american,roman-catholic,1950-03-30,2009-01-06
VT,,democrat,Peter Welch,male,white-american,roman-catholic,1947-05-02,2007-01-04
WA,1,democrat,Suzan DelBene,female,white-american,episcopalian,1962-02-17,2012-11-13
WA,2,democrat,Rick Larsen,male,white-american,methodist,1965-06-15,2001-01-03
WA,3,republican,Jaime Herrera Beutler,female,hispanic-american,christian,1978-11-03,2011-01-05
WA,4,republican,Dan Newhouse,male,white-american,presbyterian,1955-07-10,2015-01-06
WA,5,republican,Cathy McMorris Rodgers,female,white-american,christian,1969-05-22,2005-01-04
WA,6,democrat,Derek Kilmer,male,white-american,methodist,1974-01-01,2013-01-03
WA,7,democrat,Pramila Jayapal,female,asian-american,hindu,1965-09-21,2017-01-03
WA,8,democrat,Kim Schrier,female,white-american,jewish,1968-08-23,2019-01-03
WA,9,democrat,Adam Smith,male,white-american,christian,1965-06-15,1997-01-07
WA,10,democrat,Denny Heck,male,white-american,lutheran,1952-07-29,2013-01-03
WI,1,republican,Bryan Steil,male,white-american,christian,1981-03-03,2019-01-03
WI,2,democrat,Mark Pocan,male,white-american,unspecified,1964-08-14,2013-01-03
WI,3,democrat,Ron Kind,male,white-american,lutheran,1963-03-16,1997-01-07
WI,4,democrat,Gwen Moore,female,african-american,baptist,1951-04-18,2005-01-04
WI,5,republican,James Sensenbrenner,male,white-american,episcopalian,1943-06-14,1979-01-15
WI,6,republican,Glenn Grothman,male,white-american,lutheran,1955-07-03,2015-01-06
WI,7,republican,Sean Duffy,male,white-american,roman-catholic,1971-10-03,2011-01-05
WI,8,republican,Mike Gallagher,male,white-american,unspecified,1984-03-03,2017-01-03
WV,1,republican,David McKinley,male,white-american,episcopalian,1947-03-28,2011-01-05
WV,2,republican,Alex Mooney,male,hispanic-american,roman-catholic,1971-06-05,2015-01-06
WV,3,republican,Carol Miller,female,white-american,baptist,1950-11-04,2019-01-03
WY,,republican,Liz Cheney,female,white-american,united-methodist,1966-07-28,2017-01-03
