state_code,district,party,name,gender,ethnicity,religion,date_of_birth,entered_office
MI,4,republican,John Moolenaar,male,white-american,christian,1961-05-08,2015-01-06
MI,5,democrat,Daniel Kildee,male,white-american,roman-catholic,1958-08-11,2013-01-03
MI,6,republican,Fred Upton,male,white-american,congregationalist,1953-04-23,1987-01-06
MI,7,republican,Tim Walberg,male,white-american,protestant,1951-04-12,2007-01-04
MI,8,democrat,Elissa Slotkin,female,white-american,unspecified,1976-07-10,2019-01-03
MI,9,democrat,Andy Levin,male,white-american,unspecified,1960-08-10,2019-01-03
MI,10,republican,Paul Mitchell,male,white-american,unspecified,1961-05-08,2017-01-03
MI,11,democrat,Haley Stevens,female,white-american,unspecified,1983-06-24,2019-01-03
MI,12,democrat,Debbie Dingell,female,white-american,roman-catholic,1953-11-23,2015-01-06
MI,13,democrat,Rashida Tlaib,female,multi-racial-american,muslim,1976-07-24,2019-01-03
MI,14,democrat,Brenda Lawrence,female,african-american,christian,1954-10-18,2015-01-06
MN,1,republican,Jim Hagedorn,male,white-american,unspecified,1962-08-04,2019-01-03
MN,2,democrat,Angie Craig,female,white-american,unspecified,1972-02-14,2019-01-03
MN,3,democrat,Dean Phillips,male,white-american,unspecified,1969-01-20,2019-01-03
MN,4,democrat,Betty McCollum,female,white-american,roman-catholic,1954-07-12,2001-01-03
MN,5,democrat,Ilhan Omar,female,middle-eastern-american,muslim,1981-10-04,2019-01-03
MN,6,republican,Tom Emmer,male,white-american,roman-catholic,1961-03-03,2015-01-06
MN,7,democrat,Collin Peterson,male,white-american,lutheran,1944-06-29,1991-01-03
MN,8,republican,Pete Stauber,male,white-american,unspecified,1966-05-10,2019-01-03
MO,1,democrat,William Clay,male,african-american,roman-catholic,1956-07-27,2001-01-03
MO,2,republican,Ann Wagner,female,white-american,roman-catholic,1962-09-13,2013-01-03
MO,3,republican,Blaine Luetkemeyer,male,white-american,roman-catholic,1952-05-07,2009-01-06
MO,4,republican,Vicky Hartzler,female,white-american,evangelical,1960-10-13,2011-01-05
MO,5,democrat,Emanuel Cleaver,male,african-american,methodist,1944-10-26,2005-01-04
MO,6,republican,Sam Graves,male,white-american,southern-baptist,1963-11-07,2001-01-03
MO,7,republican,Billy Long,male,white-american,presbyterian,1955-08-11,2011-01-05
MO,8,republican,Jason Smith,male,white-american,pentecostal,1980-06-16,2013-06-04
MS,1,republican,Trent Kelly,male,white-american,methodist,1966-03-01,2015-06-09
MS,2,democrat,Bennie Thompson,male,african-american,methodist,1948-01-28,1993-04-13
MS,3,republican,Michael Guest,male,white-american,unspecified,1970-02-04,2019-01-03
MS,4,republican,Steven Palazzo,male,white-american,roman-catholic,1970-02-21,2011-01-05
MT,,republican,Gregory Gianforte,male,white-american,unspecified,1961-04-17,2017-06-21
NC,1,democrat,G.K. Butterfield,male,african-american,baptist,1947-04-27,2004-07-21
NC,2,republican,George Holding,male,white-american,southern-baptist,1968-04-17,2013-01-03
NC,3,republican,Gregory Murphy,male,white-american,unspecified,1963-03-05,2019-09-17
NC,4,democrat,David Price,male,white-american,baptist,1940-08-17,1987-01-06
NC,5,republican,Virginia Foxx,female,white-american,roman-catholic,1943-06-29,2005-01-04
NC,6,republican,Mark Walker,male,white-american,southern-baptist,1969-05-20,2015-01-06
NC,7,republican,David Rouzer,male,white-american,southern-baptist,1972-02-16,2015-01-06
NC,8,republican,Richard Hudson,male,white-american,christian,1971-11-04,2013-01-03
NC,9,republican,Mark Harris,male,white-american,christian,1966-04-24,2019-01-03
NC,10,republican,Patrick McHenry,male,white-american,roman-catholic,1975-10-22,2005-01-04
NC,11,republican,Mark Meadows,male,white-american,christian,1959-07-28,2013-01-03
NC,12,democrat,Alma Adams,female,african-american,baptist,1946-05-27,2014-11-12
NC,13,republican,Ted Budd,male,white-american,unspecified,1971-10-21,2017-01-03
ND,,republican,Kelly Armstrong,male,white-american,unspecified,1968-12-14,2019-01-03
NE,1,republican,Jeff Fortenberry,male,white-american,roman-catholic,1960-12-27,2005-01-04
NE,2,republican,Don Bacon,male,white-american,unspecified,1963-08-16,2017-01-03
NE,3,republican,Adrian Smith,male,white-american,christian,1970-12-19,2007-01-04
NH,1,democrat,Chris Pappas,male,white-american,unspecified,1980-06-04,2019-01-03
NH,2,democrat,Annie Kuster,female,white-american,episcopalian,1956-09-05,2013-01-03
NJ,1,democrat,Donald Norcross,male,white-american,lutheran,1958-12-13,2014-11-12
NJ,2,democrat,Jefferson Van Drew,male,white-american,unspecified,1953-02-23,2019-01-03
NJ,3,democrat,Andrew Kim,male,white-american,unspecified,1982-07-12,2019-01-03
NJ,4,republican,Christopher Smith,male,white-american,roman-catholic,1953-03-04,1981-01-05
NJ,5,democrat,Josh Gottheimer,male,white-american,unspecified,1975-03-08,2017-01-03
NJ,6,democrat,Frank Pallone,male,white-american,roman-catholic,1951-10-30,1987-01-06
NJ,7,democrat,Tom Malinowski,male,white-american,unspecified,1965-09-15,2019-01-03
NJ,8,democrat,Albio Sires,male,hispanic-american,roman-catholic,1951-01-26,2006-11-13
NJ,9,democrat,Bill Pascrell,male,white-american,roman-catholic,1937-01-25,1997-01-07
NJ,10,democrat,Donald Payne,male,african-american,baptist,1958-12-17,2012-11-15
NJ,11,democrat,Mikie Sherrill,female,white-american,unspecified,1972-01-19,2019-01-03
NJ,12,democrat,Bonnie Watson Coleman,female,african-american,baptist,1945-02-06,2015-01-06
NM,1,democrat,Debra Haaland,female,native-american,unspecified,1960-12-02,2019-01-03
NM,2,democrat,Xochitl Torres Small,female,hispanic-american,unspecified,1984-11-15,2019-01-03
NM,3,democrat,Ben Ray Luján,male,hispanic-american,roman-catholic,1972-06-07,2009-01-06
NV,1,democrat,Dina Titus,female,white-american,eastern-orthodox,1950-05-23,2009-01-06
NV,2,republican,Mark Amodei,male,white-american,christian,1958-06-12,2011-09-13
NV,3,democrat,Susie Lee,female,white-american,unspecified,1966-11-07,2019-01-03
NV,4,democrat,Steven Horsford,male,white-american,unspecified,1973-04-29,2019-01-03
NY,1,republican,Lee Zeldin,male,white-american,jewish,1980-01-30,2015-01-06
NY,2,republican,Pete King,male,white-american,roman-catholic,1944-04-05,1993-01-05
NY,3,democrat,Thomas Suozzi,male,white-american,roman-catholic,1962-08-31,2017-01-03
NY,4,democrat,Kathleen Rice,female,white-american,roman-catholic,1965-02-15,2015-01-06
NY,5,democrat,Gregory Meeks,male,african-american,baptist,1953-09-25,1997-01-07
NY,6,democrat,Grace Meng,female,asian-american,christian,1975-10-01,2013-01-03
NY,7,democrat,Nydia Velázquez,female,hispanic-american,roman-catholic,1953-03-28,1993-01-05
NY,8,democrat,Hakeem Jeffries,male,african-american,baptist,1970-08-04,2013-01-03
NY,9,democrat,Yvette Clarke,female,african-american,african-methodist,1964-11-21,2007-01-04
NY,10,democrat,Jerrold Nadler,male,white-american,jewish,1947-06-13,1992-11-03
NY,11,democrat,Max Rose,male,white-american,unspecified,1986-11-28,2019-01-03
NY,12,democrat,Carolyn Maloney,female,white-american,presbyterian,1946-02-19,1993-01-05
NY,13,democrat,Adriano Espaillat,male,hispanic-american,roman-catholic,1954-09-27,2017-01-03
NY,14,democrat,Alexandria Ocasio-Cortez,female,multi-racial-american,unspecified,1989-10-13,2019-01-03
NY,15,democrat,José Serrano,male,hispanic-american,roman-catholic,1943-10-24,1989-01-03
NY,16,democrat,Eliot Engel,male,white-american,jewish,1947-02-18,1989-01-03
NY,17,democrat,Nita Lowey,female,white-american,jewish,1937-07-05,1989-01-03
NY,18,democrat,Sean Patrick Maloney,male,white-american,roman-catholic,1966-07-30,2013-01-03
NY,19,democrat,Antonio Delgado,male,white-american,unspecified,1977-01-28,2019-01-03
NY,20,democrat,Paul Tonko,male,white-american,roman-catholic,1949-06-18,2009-01-06
NY,21,republican,Elise Stefanik,female,white-american,roman-catholic,1984-07-02,2015-01-06
NY,22,democrat,Anthony Brindisi,male,white-american,unspecified,1978-11-22,2019-01-03
NY,23,republican,Tom Reed,male,white-american,roman-catholic,1971-11-18,2010-11-18
NY,24,republican,John Katko,male,white-american,roman-catholic,1962-11-09,2015-01-06
NY,25,democrat,Joseph Morelle,male,white-american,christian,1957-04-29,2019-01-03
NY,26,democrat,Brian Higgins,male,white-american,roman-catholic,1959-10-06,2005-01-04
NY,27,republican,Chris Collins,male,white-american,roman-catholic,1950-05-20,2013-01-03
OH,1,republican,Steve Chabot,male,white-american,roman-catholic,1953-01-22,1995-01-04
OH,2,republican,Brad Wenstrup,male,white-american,roman-catholic,1958-06-17,2013-01-03
OH,3,democrat,Joyce Beatty,female,african-american,baptist,1950-03-12,2013-01-03
OH,4,republican,Jim Jordan,male,white-american,christian,1964-02-17,2007-01-04
OH,5,republican,Robert Latta,male,white-american,christian,1956-04-18,2007-12-13
OH,6,republican,Bill Johnson,male,white-american,protestant,1954-11-10,2011-01-05
OH,7,republican,Bob Gibbs,male,white-american,methodist,1954-06-14,2011-01-05
OH,8,republican,Warren Davidson,male,white-american,christian,1970-03-01,2016-06-09
OH,9,democrat,Marcy Kaptur,female,white-american,roman-catholic,1946-06-17,1983-01-03
OH,10,republican,Michael Turner,male,white-american,protestant,1960-01-11,2003-01-07
OH,11,democrat,Marcia Fudge,female,african-american,church-of-god,1952-10-29,2008-11-19
OH,12,republican,Troy  Balderson,male,white-american,unspecified,1962-01-16,2018-09-05
OH,13,democrat,Tim Ryan,male,white-american,roman-catholic,1973-07-16,2003-01-07
OH,14,republican,David Joyce,male,white-american,roman-catholic,1957-03-17,2013-01-03
OH,15,republican,Steve Stivers,male,white-american,united-methodist,1965-03-24,2011-01-05
OH,16,republican,Anthony Gonzalez,male,white-american,unspecified,1984-09-18,2019-01-03
OK,1,republican,Kevin Hern,male,white-american,unspecified,1961-12-04,2019-01-03
OK,2,republican,Markwayne Mullin,male,native-american,pentecostal,1977-07-26,2013-01-03
OK,3,republican,Frank Lucas,male,white-american,southern-baptist,1960-01-06,1993-05-10
OK,4,republican,Tom Cole,male,native-american,methodist,1949-04-28,2003-01-07
OK,5,democrat,Kendra Horn,female,white-american,unspecified,1976-06-09,2019-01-03
OR,1,democrat,Suzanne Bonamici,female,white-american,jewish,1954-10-14,2012-02-07
OR,2,republican,Greg Walden,male,white-american,episcopalian,1957-01-10,1999-01-06
OR,3,democrat,Earl Blumenauer,male,white-american,protestant,1948-08-16,1996-05-21
OR,4,democrat,Peter DeFazio,male,white-american,roman-catholic,1947-05-27,1987-01-06
OR,5,democrat,Kurt Schrader,male,white-american,episcopalian,1951-10-19,2009-01-06
PA,1,republican,Brian Fitzpatrick,male,white-american,roman-catholic,1973-12-17,2017-01-03
PA,2,democrat,Brendan Boyle,male,white-american,roman-catholic,1977-02-06,2015-01-06
